x,y,cp,yplus,cf,source,surface
-0.00065294,0.00443281,0.26453802,2.253518,-8.087316e-05,SU2,upper
-9.6e-07,0.00904034,-0.33125925,2.272377,0.00531729,SU2,upper
3.77e-05,-0.00012173,0.7658774,1.8203961,-0.0039499355,SU2,lower
0.0020268,0.01403597,-0.8069893,2.1178515,0.00818582,SU2,upper
0.00247117,-0.00483796,1.017876,0.81957525,-0.001502586,SU2,lower
0.00545191,0.01925775,-1.1250391,1.9731091,0.009390919,SU2,upper
0.00684959,-0.00915726,0.9398943,1.1793247,0.004124748,SU2,lower
0.01027974,0.02464231,-1.3137503,1.9390904,0.0105491225,SU2,upper
0.01296433,-0.01282789,0.7887248,1.2929124,0.0056590345,SU2,lower
0.01657066,0.03016794,-1.4370607,1.9092822,0.011275067,SU2,upper
0.02062769,-0.01591729,0.63852924,1.2178856,0.0053385682,SU2,lower
0.02444867,0.03581555,-1.5158411,1.8706728,0.011561707,SU2,upper
0.02981895,-0.01857487,0.5425914,1.1348708,0.004771842,SU2,lower
0.03409471,0.04154827,-1.5657766,1.8282455,0.0116075035,SU2,upper
0.0406396,-0.02094269,0.4696568,1.0868611,0.0044367737,SU2,lower
0.04574009,0.04729985,-1.5887547,1.7842658,0.011461804,SU2,upper
0.05327019,-0.02314775,0.4213083,1.062216,0.004265631,SU2,lower
0.05966535,0.0529682,-1.5872684,1.7238798,0.010983731,SU2,upper
0.06795382,-0.02530923,0.3790364,1.0696067,0.0043406775,SU2,lower
0.07619558,0.05840887,-1.5592799,1.6458925,0.010214435,SU2,upper
0.08498747,-0.027541,0.34149098,1.0950794,0.004554254,SU2,lower
0.09570217,0.06343579,-1.5026188,1.5412529,0.009067482,SU2,upper
0.10472665,-0.02994612,0.3001886,1.1313349,0.0048610913,SU2,lower
0.11860121,0.06782974,-1.4145536,1.4279743,0.007832146,SU2,upper
0.12759037,-0.0325971,0.25477758,1.1694516,0.0051934593,SU2,lower
0.14535816,0.07136649,-1.2923368,1.301434,0.0065192687,SU2,upper
