"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
17024, 1.000000000000000e+00, -0.000000000000000e+00, 9.980065511405879e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.791476389543834e+00, 1.000000000000000e-10, 9.130427276159689e+04, 2.616711032506542e-01, 8.713451024790818e+02
17290, 9.813193900000000e-01, 5.206990000000000e-03, 9.986663144523260e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789682885487388e+00, 1.000000000000000e-10, 9.027621127653330e+04, 3.520061790044320e-01, 8.460569923286840e+02
17556, 9.620150600000000e-01, 1.042916000000000e-02, 9.975631330880802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.787937083128674e+00, 1.000000000000000e-10, 8.961669110460034e+04, 3.622588302999362e-01, 8.379423098880758e+02
17822, 9.420666599999999e-01, 1.565978000000000e-02, 9.970011434285666e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.786500044884757e+00, 1.000000000000000e-10, 8.893577492047008e+04, 3.599171872650728e-01, 8.383170119915527e+02
18088, 9.214534599999999e-01, 2.089140000000000e-02, 9.963875115128450e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.785073714310110e+00, 1.000000000000000e-10, 8.834639161006425e+04, 3.591122318720283e-01, 8.393188278076383e+02
18354, 9.001539700000000e-01, 2.611578000000000e-02, 9.958488158769239e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.783806096976532e+00, 1.000000000000000e-10, 8.783693479384111e+04, 3.581929212648463e-01, 8.402585098656797e+02
18620, 8.781461400000000e-01, 3.132374000000000e-02, 9.953060425185647e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.782517365693999e+00, 1.000000000000000e-10, 8.736487666589677e+04, 3.578396845244159e-01, 8.411627800370563e+02
18886, 8.554071000000000e-01, 3.650511000000000e-02, 9.948207030958732e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.781365513284578e+00, 1.000000000000000e-10, 8.693740391977558e+04, 3.574672447170158e-01, 8.421188586606451e+02
19152, 8.319133100000000e-01, 4.164849000000000e-02, 9.943316853557115e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.780195490365631e+00, 1.000000000000000e-10, 8.659144108919363e+04, 3.573408706467821e-01, 8.430856090362373e+02
19418, 8.076406100000000e-01, 4.674107000000000e-02, 9.938786415642857e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.779114940786402e+00, 1.000000000000000e-10, 8.630216622328230e+04, 3.571836976240673e-01, 8.440810457150001e+02
19684, 7.827178700000000e-01, 5.173827000000000e-02, 9.934259241040270e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.778031228503595e+00, 1.000000000000000e-10, 8.603617995343330e+04, 3.573351259014694e-01, 8.451241753567748e+02
19950, 7.576987800000000e-01, 5.652025000000000e-02, 9.930043162697754e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.777026968298656e+00, 1.000000000000000e-10, 8.582448111924964e+04, 3.575253282828046e-01, 8.466665154959135e+02
20216, 7.326374400000000e-01, 6.107554000000000e-02, 9.925949633540704e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.776049455610558e+00, 1.000000000000000e-10, 8.567174689426553e+04, 3.576190835082408e-01, 8.477670312213997e+02
