x,y,cp,yplus,cf,LM_gamma,LM_gamma_sep,LM_gamma_eff,LM_Re_t,source,surface
-0.00030024,0.00305728,0.89337194,1.7216005,-1.7768594e-05,0.5742085,0.0,0.5742085,960.1702,SU2,upper
5.585e-05,0.00642482,0.68653965,2.1085608,0.0043151905,0.4234113,0.0,0.4234113,956.42926,SU2,upper
6.45e-05,-0.00030642,1.0087764,0.89067096,-0.00084103853,0.5510288,0.0,0.5510288,957.336,SU2,lower
0.00117795,0.01002447,0.37973645,2.2542567,0.009139793,0.38073123,0.0,0.38073123,967.9646,SU2,upper
0.00131655,-0.00385845,0.9871115,1.3345294,0.00372542,0.40738475,0.0,0.40738475,946.0441,SU2,lower
0.0030987,0.01376055,0.10809848,2.2258382,0.012199901,0.36642867,0.0,0.36642867,970.5429,SU2,upper
0.0036173,-0.00737745,0.79466736,1.875359,0.010488571,0.3657262,0.0,0.3657262,961.37036,SU2,lower
0.00580734,0.01757725,-0.108190745,2.1230943,0.013360362,0.36033946,0.0,0.36033946,967.83954,SU2,upper
0.00696619,-0.01066717,0.55330807,1.9595672,0.013928938,0.35010973,0.0,0.35010973,961.701,SU2,lower
0.00929141,0.02145566,-0.27647445,2.0059996,0.0134205315,0.35776296,0.0,0.35776296,962.4597,SU2,upper
0.01128025,-0.0136448,0.34843165,1.8953587,0.014545202,0.34439823,0.0,0.34439823,952.1392,SU2,lower
0.01355548,0.02539749,-0.40571335,1.8882767,0.012878612,0.35770115,0.0,0.35770115,956.54,SU2,upper
0.01649219,-0.01630728,0.19611587,1.7709719,0.013513721,0.34545228,0.0,0.34545228,943.15485,SU2,lower
0.01862469,0.02941291,-0.5072441,1.779389,0.012103582,0.35942608,0.0,0.35942608,950.77295,SU2,upper
0.02257869,-0.01867896,0.08906015,1.6335838,0.011919926,0.3514032,0.0,0.3514032,933.71216,SU2,lower
0.02454469,0.03351486,-0.5887682,1.6810555,0.0112701105,0.3618141,0.0,0.3618141,946.53284,SU2,upper
0.02955753,-0.02078633,0.022247696,1.5047443,0.010340365,0.3578767,0.0,0.3578767,927.5739,SU2,lower
0.03137804,0.03771447,-0.6548292,1.5933144,0.010456773,0.36432868,0.0,0.36432868,942.82605,SU2,upper
0.03747764,-0.02264912,-0.014161494,1.3902189,0.008949801,0.36285233,0.0,0.36285233,918.868,SU2,lower
0.03920432,0.04202042,-0.7084028,1.5136428,0.009682965,0.3665436,0.0,0.3665436,939.1375,SU2,upper
0.04641026,-0.02427854,-0.03561744,1.2901708,0.007781364,0.3666092,0.0,0.3666092,909.6662,SU2,lower
0.04811781,0.04643676,-0.7519718,1.4415532,0.008964926,0.3682977,0.0,0.3682977,935.1507,SU2,upper
0.056446,-0.02567841,-0.04822622,1.2042149,0.006821229,0.36976135,0.0,0.36976135,902.37256,SU2,lower
0.0582288,0.05096272,-0.78779197,1.3756485,0.008305706,0.36942267,0.0,0.36942267,930.812,SU2,upper
0.06769357,-0.02684643,-0.0538479,1.1315578,0.0060455413,0.3723195,0.0,0.3723195,896.6909,SU2,lower
0.0696646,0.05559164,-0.81788474,1.3154082,0.007702628,0.37016696,0.0,0.37016696,926.18176,SU2,upper
0.08027829,-0.02777517,-0.054026026,1.0708996,0.0054288395,0.37394726,0.0,0.37394726,892.1771,SU2,lower
0.08256835,0.06030875,-0.8436289,1.2606255,0.007163653,0.37062,0.0,0.37062,921.7813,SU2,upper
0.09434394,-0.02845331,-0.04967583,1.0220116,0.004948678,0.37462845,0.0,0.37462845,888.38293,SU2,lower
0.09710192,0.06509019,-0.8657992,1.211631,0.0066857766,0.37074333,0.0,0.37074333,917.0915,SU2,upper
0.11005335,-0.02886669,-0.041663483,0.9834774,0.0045842226,0.37439284,0.0,0.37439284,885.02765,SU2,lower
0.11344734,0.06990083,-0.8846109,1.1674876,0.0062631383,0.370587,0.0,0.370587,912.33167,SU2,upper
0.12758987,-0.02899952,-0.03052264,0.9543894,0.004314369,0.37360707,0.0,0.37360707,882.1086,SU2,lower
0.13180737,0.07469131,-0.89984983,1.1272104,0.005882213,0.37035912,0.0,0.37035912,907.636,SU2,upper
0.1471592,-0.02883601,-0.016963745,0.9325847,0.004116712,0.37205756,0.0,0.37205756,879.7314,SU2,lower
0.15240785,0.07939508,-0.91135144,1.0879083,0.005515137,0.37036997,0.0,0.37036997,902.841,SU2,upper
0.16899307,-0.02836244,-0.001261043,0.9167729,0.003974946,0.36995894,0.0,0.36995894,877.9596,SU2,lower
0.17549966,0.0839245,-0.91764575,1.0530783,0.0051966715,0.37024254,0.0,0.37024254,898.4067,SU2,upper
0.19333,-0.02757076,0.015947653,0.90680206,0.0038852512,0.3684665,0.0,0.3684665,876.8971,SU2,lower
0.2005554,0.08804648,-0.9201564,1.0287601,0.004981566,0.3696379,0.0,0.3696379,894.83624,SU2,upper
0.21869706,-0.02653899,0.03261262,0.89826196,0.0038104116,0.36771777,0.0,0.36771777,876.38385,SU2,lower
0.22579896,0.09144447,-0.91940606,1.001038,0.0047318544,0.36934948,0.0,0.36934948,891.11273,SU2,upper
0.24405819,-0.02537023,0.048116833,0.8918561,0.0037541548,0.36776155,0.0,0.36776155,876.1643,SU2,lower
0.2511257,0.09415462,-0.91185266,0.97168756,0.0044694,0.36927968,0.0,0.36927968,887.5326,SU2,upper
0.26941562,-0.02412336,0.06232472,0.89005405,0.00373696,0.36875576,0.0,0.36875576,876.34796,SU2,lower
0.27651343,0.09621754,-0.8997312,0.94524103,0.0042368425,0.36926135,0.0,0.36926135,884.139,SU2,upper
0.29477152,-0.02284619,0.07494603,0.89172596,0.0037501294,0.3713003,0.0,0.3713003,877.0919,SU2,lower
0.30194366,0.09766707,-0.8826957,0.91927654,0.0040107034,0.36878154,0.0,0.36878154,881.0136,SU2,upper
0.32012793,-0.02157848,0.08572675,0.89591837,0.0037865706,0.37091506,0.0,0.37091506,877.1746,SU2,lower
0.32740048,0.09853199,-0.86114675,0.8941347,0.0037955735,0.3684277,0.0,0.3684277,877.6377,SU2,upper
0.34548643,-0.02035387,0.09438884,0.90320283,0.0038479567,0.3705579,0.0,0.3705579,877.38385,SU2,lower
0.35287023,0.0988372,-0.83505255,0.8671689,0.00356941,0.36760643,0.0,0.36760643,874.0483,SU2,upper
0.3708483,-0.01920127,0.09984967,0.9121869,0.003926002,0.3703062,0.0,0.3703062,877.1635,SU2,lower
0.37834078,0.09860456,-0.803275,0.83536154,0.003309904,0.36631638,0.0,0.36631638,870.6132,SU2,upper
0.3962144,-0.01814568,0.10028737,0.92614317,0.0040484504,0.36924827,0.0,0.36924827,876.1802,SU2,lower
0.40380135,0.0978531,-0.76388085,0.8054823,0.0030747496,0.3658635,0.0,0.3658635,867.9316,SU2,upper
0.4215832,-0.01715723,0.09792672,0.9478497,0.0042403615,0.36429086,0.0,0.36429086,875.9085,SU2,lower
0.42924687,0.09669464,-0.7227871,0.79638916,0.0030022354,0.3650172,0.0,0.3650172,865.6041,SU2,upper
0.4469505,-0.0161301,0.09814037,0.94310236,0.0041986997,0.36590162,0.0,0.36590162,877.1971,SU2,lower
0.45467597,0.09521816,-0.6860475,0.8037003,0.003055393,0.36355546,0.0,0.36355546,863.6067,SU2,upper
0.47231665,-0.01507567,0.101002164,0.9380115,0.0041540065,0.36775976,0.0,0.36775976,877.5052,SU2,lower
0.4800856,0.0934379,-0.6528039,0.80927986,0.0030946252,0.3622601,0.0,0.3622601,861.654,SU2,upper
0.49768224,-0.01400781,0.10453647,0.9359362,0.004134859,0.36895448,0.0,0.36895448,877.77045,SU2,lower
0.5054732,0.09136648,-0.62130827,0.8119479,0.0031118155,0.36135414,0.0,0.36135414,860.0427,SU2,upper
0.5230478,-0.01293872,0.10854367,0.9350719,0.0041265176,0.36909536,0.0,0.36909536,877.7643,SU2,lower
0.53083634,0.08901507,-0.59078294,0.81308717,0.0031168025,0.36068138,0.0,0.36068138,858.51996,SU2,upper
0.54841375,-0.01187907,0.11254997,0.9349924,0.004126299,0.3691332,0.0,0.3691332,877.8127,SU2,lower
0.556173,0.08639351,-0.5606732,0.8131713,0.003114078,0.36006862,0.0,0.36006862,856.97974,SU2,upper
0.5737805,-0.01083816,0.11653333,0.93533355,0.004129888,0.36915252,0.0,0.36915252,877.90704,SU2,lower
0.58148134,0.08351047,-0.5307795,0.8123566,0.003105806,0.35955012,0.0,0.35955012,855.6002,SU2,upper
0.5991483,-0.00982403,0.12029669,0.93595594,0.0041360036,0.36915863,0.0,0.36915863,878.0386,SU2,lower
0.60675937,0.08037349,-0.5007964,0.8110353,0.0030925625,0.35915136,0.0,0.35915136,854.2871,SU2,upper
0.6245174,-0.00884354,0.12387693,0.93676746,0.004143784,0.36915302,0.0,0.36915302,878.21063,SU2,lower
0.6320055,0.07698909,-0.4706693,0.80879354,0.0030731747,0.358634,0.0,0.358634,852.53973,SU2,upper
0.649888,-0.00790247,0.12713945,0.9376695,0.004152445,0.36914694,0.0,0.36914694,878.39923,SU2,lower
0.65721804,0.07336286,-0.44000572,0.80581653,0.0030492537,0.35823476,0.0,0.35823476,851.27997,SU2,upper
0.6752602,-0.00700557,0.1301819,0.9388594,0.004162385,0.36916545,0.0,0.36916545,878.61975,SU2,lower
0.68239534,0.06949945,-0.40884677,0.8017594,0.0030172658,0.3579771,0.0,0.3579771,850.0808,SU2,upper
0.70063406,-0.00615662,0.13286239,0.9399055,0.0041722744,0.36915323,0.0,0.36915323,878.8464,SU2,lower
0.7075357,0.06540268,-0.37664124,0.7970217,0.0029807193,0.357775,0.0,0.357775,848.9088,SU2,upper
0.7260096,-0.00535849,0.13536973,0.941208,0.0041831587,0.3691711,0.0,0.3691711,879.09216,SU2,lower
0.73263747,0.06107554,-0.34363842,0.79045266,0.0029328482,0.35761908,0.0,0.35761908,847.767,SU2,upper
0.7513867,-0.00461317,0.13750413,0.94221574,0.0041926024,0.3691759,0.0,0.3691759,879.3372,SU2,lower
0.7576988,0.05652025,-0.30888242,0.78353786,0.0028824487,0.35752532,0.0,0.35752532,846.6665,SU2,upper
0.77676535,-0.00392182,0.13960123,0.9432728,0.004202381,0.3691794,0.0,0.3691794,879.5962,SU2,lower
0.7827179,0.05173827,-0.27317536,0.77402717,0.002815278,0.35733512,0.0,0.35733512,845.12415,SU2,upper
0.8021307,-0.00328513,0.14132878,0.94387627,0.0042081065,0.36920226,0.0,0.36920226,879.8086,SU2,lower
0.8076406,0.04674107,-0.23464338,0.7646122,0.002751102,0.3571837,0.0,0.3571837,844.08105,SU2,upper
0.8269682,-0.00271388,0.14330523,0.944549,0.0042143157,0.3691911,0.0,0.3691911,880.01825,SU2,lower
0.8319133,0.04164849,-0.19622384,0.75120395,0.0026597586,0.35734087,0.0,0.35734087,843.08563,SU2,upper
0.8510404,-0.00220851,0.1449259,0.9443403,0.00421262,0.36994585,0.0,0.36994585,880.0583,SU2,lower
0.8554071,0.03650511,-0.15462302,0.73782605,0.0025715982,0.35746723,0.0,0.35746723,842.11884,SU2,upper
0.8743708,-0.00176255,0.14727962,0.9438702,0.004208502,0.37029663,0.0,0.37029663,880.3214,SU2,lower
0.8781461,0.03132374,-0.11366827,0.71955246,0.002453413,0.35783967,0.0,0.35783967,841.1628,SU2,upper
0.89698195,-0.00136969,0.14943081,0.9416647,0.0041888817,0.37060937,0.0,0.37060937,880.512,SU2,lower
0.900154,0.02611578,-0.067846715,0.70044506,0.0023331714,0.35819292,0.0,0.35819292,840.2585,SU2,upper
0.9188961,-0.00102384,0.15321463,0.9385036,0.0041607595,0.37084532,0.0,0.37084532,880.73285,SU2,lower
0.9214535,0.0208914,-0.022775875,0.6782961,0.0021965655,0.35911223,0.0,0.35911223,839.31885,SU2,upper
0.9401345,-0.00071919,0.15761167,0.9277294,0.0040643187,0.3715152,0.0,0.3715152,880.9796,SU2,lower
0.94206667,0.01565978,0.0279381,0.65522444,0.0020594867,0.3599172,0.0,0.3599172,838.317,SU2,upper
0.960718,-0.00045032,0.16843253,0.92166525,0.004012285,0.3719875,0.0,0.3719875,881.4874,SU2,lower
0.96201503,0.01042916,0.07903279,0.6250611,0.0018850671,0.36225882,0.0,0.36225882,837.9423,SU2,upper
0.98066664,-0.00021214,0.1753231,0.8536483,0.0034397664,0.3795653,0.0,0.3795653,878.63336,SU2,lower
0.98131937,0.00520699,0.14110577,0.52081925,0.001315504,0.35200617,0.0,0.35200617,846.057,SU2,upper
-0.00027,0.00395,0.71234,,0.019618,,,,,xfoil,upper
-0.00027,0.00212,0.843,,0.017632,,,,,xfoil,upper
-6e-05,0.00581,0.56268,,0.024984,,,,,xfoil,upper
-5e-05,0.00027,0.94746,,0.009454,,,,,xfoil,upper
0.00038,0.00775,0.38401,,0.027149,,,,,xfoil,upper
0.00042,-0.00162,0.99807,,0.003575,,,,,xfoil,lower
0.00106,0.00974,0.21762,,0.026968,,,,,xfoil,upper
0.00116,-0.00352,0.99901,,0.003346,,,,,xfoil,lower
0.00198,0.01176,0.06216,,0.027202,,,,,xfoil,upper
0.00217,-0.00538,0.95059,,0.00853,,,,,xfoil,lower
0.00313,0.01381,-0.08182,,0.026335,,,,,xfoil,upper
0.00346,-0.00719,0.87152,,0.01236,,,,,xfoil,lower
0.00453,0.01591,-0.20486,,0.024583,,,,,xfoil,upper
0.00503,-0.00893,0.76387,,0.016014,,,,,xfoil,lower
0.00619,0.01805,-0.30713,,0.022729,,,,,xfoil,upper
0.00688,-0.0106,0.65811,,0.015619,,,,,xfoil,lower
0.00813,0.02025,-0.39907,,0.021541,,,,,xfoil,upper
0.00901,-0.0122,0.55488,,0.017051,,,,,xfoil,lower
0.01037,0.02252,-0.4772,,0.019755,,,,,xfoil,upper
0.01144,-0.01374,0.45851,,0.016021,,,,,xfoil,lower
0.01296,0.02488,-0.54436,,0.01826,,,,,xfoil,upper
0.01418,-0.01522,0.37833,,0.015054,,,,,xfoil,lower
0.01594,0.02736,-0.60177,,0.01677,,,,,xfoil,upper
0.01726,-0.01664,0.30412,,0.014537,,,,,xfoil,lower
0.01937,0.02996,-0.64966,,0.015291,,,,,xfoil,upper
0.02074,-0.01803,0.24228,,0.013097,,,,,xfoil,lower
0.02333,0.03272,-0.69523,,0.014342,,,,,xfoil,upper
0.02468,-0.01937,0.19113,,0.011977,,,,,xfoil,lower
0.02793,0.03565,-0.73664,,0.013273,,,,,xfoil,upper
0.02916,-0.02068,0.14819,,0.010871,,,,,xfoil,lower
0.03326,0.0388,-0.77149,,0.012105,,,,,xfoil,upper
0.03427,-0.02195,0.11068,,0.009964,,,,,xfoil,lower
0.03946,0.04216,-0.80184,,0.01111,,,,,xfoil,upper
0.04015,-0.02318,0.08041,,0.008898,,,,,xfoil,lower
0.04665,0.04574,-0.8321,,0.010415,,,,,xfoil,upper
0.04694,-0.02436,0.05662,,0.007938,,,,,xfoil,lower
0.05481,-0.02548,0.03899,,0.007025,,,,,xfoil,lower
0.0549,0.04952,-0.85889,,0.009612,,,,,xfoil,upper
0.06389,-0.02649,0.02626,,0.006236,,,,,xfoil,lower
0.06425,0.05346,-0.88344,,0.008936,,,,,xfoil,upper
0.07427,-0.02737,0.01755,,0.005551,,,,,xfoil,lower
0.07467,0.05748,-0.90436,,0.00827,,,,,xfoil,upper
0.08594,-0.02809,0.01456,,0.004826,,,,,xfoil,lower
0.08603,0.0615,-0.92312,,0.007729,,,,,xfoil,upper
0.09819,0.06543,-0.9387,,0.00721,,,,,xfoil,upper
0.0988,-0.0286,0.0148,,0.004276,,,,,xfoil,lower
0.11099,0.06921,-0.95252,,0.006791,,,,,xfoil,upper
0.11265,-0.02891,0.01769,,0.003798,,,,,xfoil,lower
0.12429,0.0728,-0.96283,,0.00635,,,,,xfoil,upper
0.12729,-0.029,0.02359,,0.003338,,,,,xfoil,lower
0.13799,0.07617,-0.9714,,0.005994,,,,,xfoil,upper
0.14252,-0.0289,0.03021,,0.003009,,,,,xfoil,lower
0.152,0.07931,-0.97804,,0.005666,,,,,xfoil,upper
0.15821,-0.02863,0.03819,,0.002691,,,,,xfoil,lower
0.16627,0.0822,-0.98198,,0.005329,,,,,xfoil,upper
0.17423,-0.02821,0.04639,,0.002444,,,,,xfoil,lower
0.18074,0.08485,-0.98334,,0.004998,,,,,xfoil,upper
0.19052,-0.02767,0.05517,,0.002211,,,,,xfoil,lower
0.19539,0.08726,-0.98379,,0.004734,,,,,xfoil,upper
0.20702,-0.02704,0.06387,,0.002022,,,,,xfoil,lower
0.21018,0.08943,-0.98082,,0.004409,,,,,xfoil,upper
0.2237,-0.02632,0.07256,,0.001856,,,,,xfoil,lower
0.22511,0.09136,-0.97719,,0.004156,,,,,xfoil,upper
0.24014,0.09306,-0.97167,,0.003893,,,,,xfoil,upper
0.24052,-0.02554,0.08068,,0.001731,,,,,xfoil,lower
0.25527,0.09454,-0.96399,,0.003616,,,,,xfoil,upper
0.25746,-0.02472,0.08852,,0.001618,,,,,xfoil,lower
